x,y,z,dim_x,dim_y,dim_z
0.577232540459,0.549160249451,0.192927362486,0.06,0.06,0.06
0.624157583742,0.0151418708799,0.121232328677,0.06,0.06,0.06
0.650434080113,0.00265006281944,0.0368910251873,0.06,0.06,0.06
0.561023829725,0.448704336835,0.184302584658,0.06,0.06,0.06
0.578525308788,0.405364256959,0.137055927606,0.06,0.06,0.06
0.637508467701,0.0574043944821,0.106137545142,0.06,0.06,0.06
0.419499482758,0.419052749395,0.183835598671,0.06,0.06,0.06
0.557422718568,0.12557098421,0.0191514041821,0.06,0.06,0.06
0.568351005749,0.481601377004,0.175308879624,0.06,0.06,0.06
0.697094742325,0.103739470939,0.0225650272418,0.06,0.06,0.06
0.549519961879,0.374076932669,0.0733574241623,0.06,0.06,0.06
0.385624949959,0.0352598137904,0.000666005176403,0.06,0.06,0.06
0.609798999151,0.475497032728,0.167109540167,0.06,0.06,0.06
0.585950998759,0.309675571488,0.122964985792,0.06,0.06,0.06
0.602398455403,0.184477087471,0.190051779337,0.06,0.06,0.06
0.472937966848,0.449384026449,0.0564558743732,0.06,0.06,0.06
0.492668578787,0.383633443344,0.128000419665,0.06,0.06,0.06
0.412914321145,0.181629985667,0.178344094237,0.06,0.06,0.06
0.39365877183,0.225808612589,0.0484996951502,0.06,0.06,0.06
0.464943354819,0.348943923614,0.0026177780175,0.06,0.06,0.06
0.389770487294,0.453897559433,0.176385948239,0.06,0.06,0.06
0.512087340145,0.272953219995,0.188537844659,0.06,0.06,0.06
0.461662089201,0.133686104883,0.163052462472,0.06,0.06,0.06
0.460055135817,0.52478006094,0.0652284385354,0.06,0.06,0.06
0.357762843963,0.411938079933,0.0707713010637,0.06,0.06,0.06
0.525566414079,0.213139389186,0.175969755925,0.06,0.06,0.06
0.544259572398,0.449913582641,0.192643905037,0.06,0.06,0.06
0.401317241484,0.259969249024,0.146326207805,0.06,0.06,0.06
0.589130262726,0.251002440361,0.134863554657,0.06,0.06,0.06
0.365767938609,0.171212051819,0.0485858007036,0.06,0.06,0.06
0.687964225633,0.531634866033,0.168894162109,0.06,0.06,0.06
0.550283782739,0.331757943634,0.0461425602604,0.06,0.06,0.06
0.442499645137,0.331764717338,0.0494611608489,0.06,0.06,0.06
0.374659523719,0.483728576365,0.00870010632836,0.06,0.06,0.06
0.57639991828,0.133315621766,0.0262190812281,0.06,0.06,0.06
0.565024132973,0.252209517201,0.0381494948882,0.06,0.06,0.06
0.399657236625,0.395075595446,0.112316699241,0.06,0.06,0.06
0.457348734608,0.0221977437758,0.182303804302,0.06,0.06,0.06
0.624298041373,0.276422886028,0.189558341368,0.06,0.06,0.06
0.504662415088,0.082448363211,0.0951435111785,0.06,0.06,0.06
0.384966708131,0.189752933486,0.145969699366,0.06,0.06,0.06
0.369272401706,0.172172095817,0.019202928057,0.06,0.06,0.06
0.293418241752,0.368189211008,0.039773626722,0.06,0.06,0.06
0.526010990519,0.337022489345,0.197371433558,0.06,0.06,0.06
0.254143898457,0.242191910397,0.130690527759,0.06,0.06,0.06
0.465978603213,0.3932498091,0.179314421151,0.06,0.06,0.06
0.619821187858,0.2647058657,0.13485418316,0.06,0.06,0.06
0.459559428372,0.10588420598,0.191813020601,0.06,0.06,0.06
0.47088910562,0.324544826649,0.177737520417,0.06,0.06,0.06
0.575202132761,0.0891010065439,0.189787931239,0.06,0.06,0.06
0.376104890703,0.499108384752,0.151017572978,0.06,0.06,0.06
0.546394318974,0.359762604111,0.0823041698094,0.06,0.06,0.06
0.476695715139,0.338204131068,0.000575048135631,0.06,0.06,0.06
0.370081551381,0.195306988512,0.134431973918,0.06,0.06,0.06
0.557880513185,0.579840881552,0.00859077770929,0.06,0.06,0.06
0.60327997199,0.258870482428,0.191699218072,0.06,0.06,0.06
0.500702979085,0.499129443328,0.165023988092,0.06,0.06,0.06
0.464715253986,0.0786274260101,0.0683601047707,0.06,0.06,0.06
0.27766520856,0.182224628986,0.0985117355281,0.06,0.06,0.06
0.505345846975,0.521712880219,0.135879832104,0.06,0.06,0.06
0.468890833856,0.479512081744,0.0140849471298,0.06,0.06,0.06
0.379066565824,0.402176954031,0.175642752914,0.06,0.06,0.06
0.475146492584,0.0917061138384,0.0486960755011,0.06,0.06,0.06
0.267687854131,0.162322737276,0.0412913567281,0.06,0.06,0.06
0.646809911111,0.249023913286,0.199519813615,0.06,0.06,0.06
0.254092534442,0.0713039588153,0.0800060663684,0.06,0.06,0.06
0.402091820783,0.252844265914,0.0374545155087,0.06,0.06,0.06
0.256240444265,0.0505704048191,0.0431780507107,0.06,0.06,0.06
0.391505660043,0.323875292306,0.170763664695,0.06,0.06,0.06
0.404406381762,0.249893828721,0.139374881771,0.06,0.06,0.06
0.519573003047,0.0912585316601,0.192024025413,0.06,0.06,0.06
0.501515345806,0.166669226169,0.0211618366689,0.06,0.06,0.06
0.283764836233,0.236565723562,0.0643905359738,0.06,0.06,0.06
0.529030019962,0.00945889425452,0.125922731928,0.06,0.06,0.06
0.263402609301,0.334614243991,0.0945221240049,0.06,0.06,0.06
0.452978928862,0.100884492951,0.0834712308525,0.06,0.06,0.06
0.69820972364,0.175276801206,0.192913709892,0.06,0.06,0.06
0.306400114008,0.409812760822,0.0703983794106,0.06,0.06,0.06
0.65816046233,0.175173252539,0.172045827368,0.06,0.06,0.06
0.367101015194,0.0431952066438,0.156568515171,0.06,0.06,0.06
0.467608375163,0.419806783119,0.0593203649723,0.06,0.06,0.06
0.32513332598,0.210831619949,0.110096212345,0.06,0.06,0.06
0.653325545223,0.32722425479,0.15210814064,0.06,0.06,0.06
0.630941965722,0.521599343074,0.040165944021,0.06,0.06,0.06
0.676106134686,0.40810203165,0.0632262164201,0.06,0.06,0.06
0.547116104145,0.467892810791,0.169055655557,0.06,0.06,0.06
0.318547476847,0.421133505892,0.0576384475851,0.06,0.06,0.06
0.324012484585,0.140245511137,0.127777665366,0.06,0.06,0.06
0.349878334069,0.48143538223,0.00435276922057,0.06,0.06,0.06
0.45011250847,0.248246383758,0.183146615477,0.06,0.06,0.06
0.555014189346,0.401528211926,0.0446433897273,0.06,0.06,0.06
0.413118776573,0.141976300567,0.0103831708826,0.06,0.06,0.06
0.44236963,0.105101691066,0.152988660977,0.06,0.06,0.06
0.556516178706,0.104249353528,0.0140594583201,0.06,0.06,0.06
0.64915309687,0.282013470146,0.182376211205,0.06,0.06,0.06
0.667148944837,0.506471784372,0.0888069801816,0.06,0.06,0.06
0.335149099312,0.274189062339,0.148889249329,0.06,0.06,0.06
0.336792888371,0.577849350789,0.0270930735407,0.06,0.06,0.06
0.525914559972,0.438530006972,0.0147192139217,0.06,0.06,0.06
0.480576504346,0.0234567920325,0.187761055013,0.06,0.06,0.06
